Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
48,17,6,153,2,Some Random Commen with Id 48
49,18,2,19,4,Some Random Commen with Id 49
50,18,2,48,3,Some Random Commen with Id 50
51,18,2,120,2,Some Random Commen with Id 51
52,18,2,69,7,Some Random Commen with Id 52
53,18,2,59,7,Some Random Commen with Id 53
54,19,9,125,6,Some Random Commen with Id 54
55,19,9,131,5,Some Random Commen with Id 55
56,19,9,143,3,Some Random Commen with Id 56
57,20,9,106,3,Some Random Commen with Id 57
58,20,9,193,1,Some Random Commen with Id 58
59,20,9,71,8,Some Random Commen with Id 59
60,20,9,161,4,Some Random Commen with Id 60
61,20,9,171,1,Some Random Commen with Id 61
62,20,9,44,0,Some Random Commen with Id 62
63,21,2,40,8,Some Random Commen with Id 63
64,21,2,77,8,Some Random Commen with Id 64
65,22,6,173,8,Some Random Commen with Id 65
66,22,6,124,7,Some Random Commen with Id 66
67,22,6,15,6,Some Random Commen with Id 67
68,22,6,89,0,Some Random Commen with Id 68
69,22,6,122,6,Some Random Commen with Id 69
70,22,6,193,6,Some Random Commen with Id 70
71,22,6,75,3,Some Random Commen with Id 71
72,22,6,7,5,Some Random Commen with Id 72
73,23,2,154,9,Some Random Commen with Id 73
74,23,2,141,9,Some Random Commen with Id 74
75,23,2,48,0,Some Random Commen with Id 75
76,23,2,170,0,Some Random Commen with Id 76
77,23,2,184,9,Some Random Commen with Id 77
78,23,2,130,0,Some Random Commen with Id 78
79,23,2,60,4,Some Random Commen with Id 79
80,24,9,11,8,Some Random Commen with Id 80
81,24,9,10,6,Some Random Commen with Id 81
82,24,9,180,9,Some Random Commen with Id 82
83,24,9,160,4,Some Random Commen with Id 83
84,24,9,102,0,Some Random Commen with Id 84
85,24,9,143,1,Some Random Commen with Id 85
86,24,9,149,6,Some Random Commen with Id 86
87,24,9,176,6,Some Random Commen with Id 87
88,24,9,158,4,Some Random Commen with Id 88
89,25,7,60,4,Some Random Commen with Id 89
90,25,7,199,4,Some Random Commen with Id 90
91,25,7,19,9,Some Random Commen with Id 91
92,26,7,178,8,Some Random Commen with Id 92
93,26,7,43,0,Some Random Commen with Id 93
94,26,7,46,4,Some Random Commen with Id 94
95,26,7,156,0,Some Random Commen with Id 95
96,26,7,81,5,Some Random Commen with Id 96
97,27,8,25,7,Some Random Commen with Id 97
98,28,2,164,9,Some Random Commen with Id 98
99,29,8,105,6,Some Random Commen with Id 99
100,29,8,73,4,Some Random Commen with Id 100
101,29,8,35,8,Some Random Commen with Id 101
102,29,8,124,2,Some Random Commen with Id 102
103,29,8,15,8,Some Random Commen with Id 103
104,29,8,185,4,Some Random Commen with Id 104
105,29,8,164,7,Some Random Commen with Id 105
106,30,2,26,7,Some Random Commen with Id 106
107,30,2,104,1,Some Random Commen with Id 107
108,30,2,106,7,Some Random Commen with Id 108
109,30,2,147,9,Some Random Commen with Id 109
110,30,2,6,1,Some Random Commen with Id 110
111,30,2,183,8,Some Random Commen with Id 111
112,30,2,122,5,Some Random Commen with Id 112
113,31,7,191,0,Some Random Commen with Id 113
114,31,7,35,8,Some Random Commen with Id 114
115,32,7,150,0,Some Random Commen with Id 115
116,33,2,50,4,Some Random Commen with Id 116
117,33,2,118,1,Some Random Commen with Id 117
118,33,2,38,8,Some Random Commen with Id 118
119,33,2,26,7,Some Random Commen with Id 119
120,34,5,101,1,Some Random Commen with Id 120
121,34,5,73,5,Some Random Commen with Id 121
122,34,5,104,2,Some Random Commen with Id 122
123,34,5,92,7,Some Random Commen with Id 123
124,34,5,18,6,Some Random Commen with Id 124
125,34,5,96,9,Some Random Commen with Id 125
126,35,4,54,4,Some Random Commen with Id 126
127,35,4,146,2,Some Random Commen with Id 127
128,35,4,16,4,Some Random Commen with Id 128
129,35,4,109,5,Some Random Commen with Id 129
130,35,4,123,1,Some Random Commen with Id 130
131,35,4,5,2,Some Random Commen with Id 131
132,36,0,20,9,Some Random Commen with Id 132
133,36,0,149,0,Some Random Commen with Id 133
134,36,0,182,8,Some Random Commen with Id 134
135,36,0,81,1,Some Random Commen with Id 135
136,36,0,68,1,Some Random Commen with Id 136
137,36,0,196,7,Some Random Commen with Id 137
138,36,0,32,3,Some Random Commen with Id 138
139,36,0,68,2,Some Random Commen with Id 139
140,36,0,163,2,Some Random Commen with Id 140
141,37,2,42,1,Some Random Commen with Id 141
142,37,2,63,9,Some Random Commen with Id 142
143,37,2,79,8,Some Random Commen with Id 143
144,37,2,138,8,Some Random Commen with Id 144
145,37,2,132,1,Some Random Commen with Id 145
146,37,2,80,3,Some Random Commen with Id 146
147,37,2,42,1,Some Random Commen with Id 147
148,38,3,104,3,Some Random Commen with Id 148
149,38,3,31,1,Some Random Commen with Id 149
150,38,3,94,4,Some Random Commen with Id 150
151,38,3,27,9,Some Random Commen with Id 151
152,38,3,145,9,Some Random Commen with Id 152
153,38,3,168,3,Some Random Commen with Id 153
154,39,9,74,2,Some Random Commen with Id 154
155,39,9,134,9,Some Random Commen with Id 155
156,39,9,62,5,Some Random Commen with Id 156
157,39,9,26,4,Some Random Commen with Id 157
158,39,9,10,8,Some Random Commen with Id 158
159,39,9,87,3,Some Random Commen with Id 159
